id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
40,1741864717.6869814,6.0,,,1,1,52,52,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
41,1741864717.9826121,6.0,,,1,1,52,52,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
42,1741864718.4726784,6.0,,,1,1,139,139,1.0,52.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
43,1741864718.5139048,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
44,1741864718.9486005,6.0,,,1,1,41,41,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
45,1741864719.0750473,6.0,,,1,1,280,280,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
46,1741864719.0915813,6.0,,,1,1,52,52,1.0,51.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
47,1741864719.133319,6.0,,,1,1,1452,1452,1.0,52.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
48,1741864719.1344016,6.0,,,1,1,60,60,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
49,1741864719.3332767,6.0,,,1,1,302,302,1.0,112.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
50,1741864719.3635404,6.0,,,1,1,1452,1452,1.0,52.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
51,1741864719.3692405,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
52,1741864719.3707461,6.0,,,1,1,114,114,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
53,1741864719.3717494,6.0,,,1,1,370,370,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
54,1741864719.3850389,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
55,1741864719.5251708,6.0,,,1,1,41,41,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
56,1741864719.5487995,6.0,,,1,1,52,52,1.0,118.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
